Parent ID,Parent Name,Triggered Mean Count,Triggered 10 Year Prob,Triggered Primary Mean Count
162,Paradise,0.0,0.0,0.0
186,Peralta Hills,0.0,0.0,0.0
647,Pilarcitos 2011 CFM,0.0,0.0,0.0
193,Pine Mtn,0.0,0.0,0.0
93,Pinto Mtn,1.2E-5,1.2E-5,0.0
89,Pisgah-Bullion Mtn-Mesquite Lk,2.0E-6,2.0E-6,0.0
212,Pitas Point (Lower West),1.26E-4,1.14E-4,6.0E-6
215,Pitas Point (Lower)-Montalvo,7.8E-5,7.8E-5,0.0
688,Pittville 2011 CFM,0.0,0.0,0.0
58,Pleito,0.001138,0.0011,0.0
666,Point Reyes 2011 CFM,0.0,0.0,0.0
843,Point Reyes 2011 connector,0.0,0.0,0.0
545,Polaris 2011 CFM,0.0,0.0,0.0
240,Puente Hills,2.0E-6,2.0E-6,0.0
648,Quien Sabe 2011 CFM,2.0E-6,2.0E-6,2.0E-6
152,Raymond,4.0E-5,4.0E-5,0.0
118,Red Mountain,1.14E-4,9.4E-5,4.0E-6
161,Red Pass,0.0,0.0,0.0
232,Redondo Canyon alt 1,0.0,0.0,0.0
649,Reliz 2011 CFM,0.0,0.0,0.0
205,Richfield,0.0,0.0,0.0
650,Rinconada 2011 CFM,8.6E-5,8.6E-5,2.0E-5
38,Robinson Creek,0.0,0.0,0.0
689,Rocky Ledge 2011 CFM,0.0,0.0,0.0
651,Rodgers Creek - Healdsburg 2011 CFM,8.0E-6,8.0E-6,0.0
123,Rose Canyon,2.0E-6,2.0E-6,0.0
42,Round Valley,2.0E-6,2.0E-6,2.0E-6
690,Russ 2011 CFM,0.0,0.0,0.0
287,San Andreas (Big Bend),0.003492,0.00349,0.00181
300,San Andreas (Carrizo) rev,0.00465,0.004646,0.002388
285,San Andreas (Cholame) rev,0.012786,0.012704,0.00666
295,San Andreas (Coachella) rev,8.8E-5,8.2E-5,2.8E-5
658,San Andreas (Creeping Section) 2011 CFM,0.001454,0.001454,6.8E-4
286,San Andreas (Mojave N),0.0029,0.002894,0.001508
301,San Andreas (Mojave S),0.001694,0.001686,8.42E-4
294,San Andreas (North Branch Mill Creek),0.0,0.0,0.0
654,San Andreas (North Coast) 2011 CFM,0.0,0.0,0.0
653,San Andreas (Offshore) 2011 CFM,0.0,0.0,0.0
32,San Andreas (Parkfield),0.011982,0.011912,0.006232
655,San Andreas (Peninsula) 2011 CFM,0.0,0.0,0.0
282,San Andreas (San Bernardino N),6.34E-4,6.32E-4,2.5E-4
283,San Andreas (San Bernardino S),2.4E-4,2.4E-4,8.0E-5
284,San Andreas (San Gorgonio Pass-Garnet HIll),1.08E-4,1.08E-4,3.2E-5
